alarm;name;type;maps_to;gen;
AVVIK_TILBUD;Dato_Id;DATETIME;dt_event;datetime;
AVVIK_TILBUD;OrganisasjonNavn;STRING;organization;organization;
AVVIK_TILBUD;PrisOmraade_BK;STRING;price_area;price_area;
AVVIK_TILBUD;StasjonsgruppeNavn;STRING;NA;;
AVVIK_TILBUD;AvvikTilbudskurveVerdi;FLOAT;NA;;
AVVIK_TILBUD;diff_2sd;FLOAT;NA;;
INNSIDE;Dato_Id;DATETIME;;datetime;
INNSIDE;LokalDatoTid;DATETIME;;datetime;
INNSIDE;OrganisasjonsNavn;STRING;;organization;
INNSIDE;StasjonsgruppeNavn;STRING;;;
INNSIDE;StasjonsgruppeKode;STRING;;;
INNSIDE;PrisOmraade_BK;STRING;;;
INNSIDE;PrisOmraadegruppe_BK;STRING;;;
INNSIDE;Utilgjengelighet_Statnett;FLOAT;;;
INNSIDE;Utilgjengelighet_UMM;FLOAT;;;
INNSIDE;Diff_SN_UMM_abs;FLOAT;;;
INNSIDE;VolumBudomraade;FLOAT;;;
INNSIDE;VolumPrisomraade;FLOAT;;;
INNSIDE;Andel;FLOAT;;;
INNSIDE;AndelProsent;FLOAT;;;
TILBAKEHOLD;Dato_Id;DATETIME;;datetime;
TILBAKEHOLD;LokalDatoTid;DATETIME;;datetime;
TILBAKEHOLD;TidPaaDagen_Id;STRING;;;
TILBAKEHOLD;SpotPris;FLOAT;;;
TILBAKEHOLD;AntallPrisomraader;INT;;;
TILBAKEHOLD;Prisomraadegruppe_BK;STRING;;;
TILBAKEHOLD;PrisOmraade_BK;STRING;;;
TILBAKEHOLD;dt;DATETIME;;datetime;
TILBAKEHOLD;timenr;INT;;;
TILBAKEHOLD;portefolje;STRING;;;
TILBAKEHOLD;cidex;FLOAT;;;
INNTEKT_PROD;LokalDatoTid;DATETIME;;datetime;
INNTEKT_PROD;Dag_I_Uke;INT;;;
INNTEKT_PROD;PrisOmraade_Id;STRING;;price_area;
INNTEKT_PROD;Organisasjon_Id;STRING;;organization;
INNTEKT_PROD;ProduksjonsPlan;FLOAT;;;
INNTEKT_PROD;UtilgjengeligEffekt;FLOAT;;;
INNTEKT_PROD;Dato_Id;DATETIME;;;
INNTEKT_PROD;SpotPris;FLOAT;;price;
INNTEKT_PROD;RkPris;FLOAT;;price;
INNTEKT_PROD;OrganisasjonNavn;STRING;;organization;
INNTEKT_PROD;PrisOmraade_BK;STRING;;price_area;
INNTEKT_PROD;income;FLOAT;;;
INNTEKT_PROD;vol_diff;FLOAT;;;
INNTEKT_PROD;income_diff;FLOAT;;;
INNTEKT_PROD;unav_diff;FLOAT;;;
TEST;parameter1;STR;;;
TEST;parameter2;STR;;;
TEST;parameter3;FLOAT;;;